,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,"['garmin', 82]","['apple', 71]","['like', 43]","['fenix', 33]","['battery', 30]","['would', 29]","['love', 27]","['phone', 25]","['run', 24]","['time', 24]","['use', 23]","['running', 22]","['wear', 20]","['need', 20]","['also', 19]","['mark', 19]","['great', 19]","['get', 19]","['ultra', 18]","['thing', 18]","['day', 18]","['2', 17]","['life', 17]","['good', 15]","['data', 15]","['got', 15]","['still', 14]","['back', 14]","['much', 14]","['feature', 14]"
1,"['apple', 89]","['dollar30', 28]","['dollar', 27]","['would', 25]","['like', 24]","['better', 24]","['get', 23]","['real', 21]","['phone', 20]","['fake', 19]","['30', 18]","['good', 18]","['actually', 16]","['30dollar', 16]","['lol', 16]","['30 dollar', 15]","['use', 15]","['buy', 15]","['need', 14]","['bro', 14]","['price', 14]","['cheap', 13]","['pro', 12]","['arun', 12]","['u', 12]","['even', 12]","['think', 12]","['smartwatch', 12]","['look', 12]","['know', 11]"
2,"['ich', 114]","['die', 91]","['und', 81]","['da', 72]","['der', 68]","['ist', 56]","['ultra', 55]","['eine', 44]","['nicht', 44]","['auch', 43]","['r', 42]","['e', 39]","['f', 37]","['mit', 36]","['f r', 35]","['apple', 32]","['zu', 29]","['aber', 29]","['habe', 29]","['ein', 27]","['den', 27]","['bei', 26]","['sehr', 24]","['rafael', 24]","['mir', 23]","['uhr', 22]","['wie', 21]","['noch', 21]","['immer', 21]","['du', 20]"
3,"['apple', 109]","['ultra', 91]","['series', 86]","['8', 52]","['7', 46]","['get', 43]","['se', 43]","['like', 36]","['would', 34]","['series 8', 32]","['battery', 32]","['new', 30]","['got', 29]","['year', 27]","['series 7', 27]","['use', 24]","['buy', 22]","['want', 21]","['iphone', 19]","['first', 19]","['go', 19]","['price', 18]","['2', 18]","['life', 18]","['wrist', 18]","['6', 18]","['battery life', 17]","['need', 17]","['think', 17]","['pro', 16]"
4,"['ultra', 31]","['apple', 18]","['series', 13]","['battery', 11]","['get', 10]","['8', 10]","['craig', 9]","['love', 9]","['great', 8]","['sharing', 8]","['button', 8]","['series 8', 8]","['price', 7]","['life', 7]","['action', 7]","['action button', 7]","['better', 6]","['stainless', 6]","['steel', 6]","['awu', 6]","['day', 6]","['nice', 6]","['shortcut', 6]","['would', 6]","['option', 6]","['like', 5]","['wait', 5]","['appreciate', 5]","['talk', 5]","['love ultra', 5]"
5,"['apple', 2577]","['ultra', 1193]","['battery', 1163]","['like', 1084]","['would', 874]","['pro', 758]","['day', 728]","['get', 680]","['life', 629]","['garmin', 595]","['still', 547]","['look', 547]","['make', 542]","['battery life', 539]","['need', 518]","['use', 516]","['people', 513]","['want', 444]","['2', 428]","['feature', 427]","['wrist', 412]","['think', 409]","['review', 405]","['series', 403]","['time', 374]","['year', 374]","['really', 370]","['good', 361]","['thing', 359]","['even', 344]"
6,"['app', 2]","['audiobooks', 2]","['like', 2]","['apps', 2]","['yet', 2]","['try', 1]","['try log', 1]","['try log tiktok', 1]","['try log tiktok let', 1]","['try log tiktok let tap', 1]","['log', 1]","['log tiktok', 1]","['log tiktok let', 1]","['log tiktok let tap', 1]","['log tiktok let tap accept', 1]","['tiktok', 1]","['tiktok let', 1]","['tiktok let tap', 1]","['tiktok let tap accept', 1]","['tiktok let tap accept cooky', 1]","['let', 1]","['let tap', 1]","['let tap accept', 1]","['let tap accept cooky', 1]","['let tap accept cooky app', 1]","['tap', 1]","['tap accept', 1]","['tap accept cooky', 1]","['tap accept cooky app', 1]","['tap accept cooky app store', 1]"
7,"['apple', 250]","['need', 73]","['get', 62]","['reason', 61]","['series', 60]","['status', 59]","['like', 57]","['iphone', 53]","['status symbol', 52]","['symbol', 52]","['got', 48]","['7', 46]","['feature', 40]","['know', 40]","['use', 38]","['wrist', 37]","['buy', 36]","['time', 35]","['phone', 33]","['unlock', 32]","['1', 31]","['love', 31]","['good', 29]","['lol', 29]","['people', 29]","['series 7', 29]","['really', 29]","['much', 28]","['look', 28]","['year', 28]"
8,"['apple', 913]","['series', 656]","['wrist', 654]","['congratulation', 618]","['winner', 553]","['right', 435]","['selected', 410]","['like', 392]","['wear', 383]","['7', 367]","['iphone', 356]","['congratulation selected', 348]","['claim', 343]","['congratulation selected winner', 320]","['selected winner', 320]","['1', 309]","['prize', 298]","['get', 280]","['would', 259]","['marque', 248]","['year', 240]","['still', 237]","['6', 229]","['whatsapp', 227]","['4', 223]","['review', 209]","['giveaway', 209]","['741', 199]","['max', 198]","['4436', 198]"
9,"['bhai', 7]","['better', 3]","['ko', 3]","['de', 3]","['isso', 2]","['teste', 2]","['barbad', 2]","['mere', 2]","['give', 2]","['full', 1]","['full isso', 1]","['full isso teste', 1]","['full isso teste se', 1]","['full isso teste se por', 1]","['isso teste', 1]","['isso teste se', 1]","['isso teste se por', 1]","['isso teste se por acaso', 1]","['teste se', 1]","['teste se por', 1]","['teste se por acaso', 1]","['teste se por acaso um', 1]","['se', 1]","['se por', 1]","['se por acaso', 1]","['se por acaso um', 1]","['se por acaso um viaduto', 1]","['por', 1]","['por acaso', 1]","['por acaso um', 1]"
10,"['apple', 72]","['series', 48]","['ultra', 45]","['would', 39]","['like', 32]","['year', 30]","['9', 30]","['battery', 27]","['sensor', 26]","['band', 23]","['bmi', 20]","['get', 18]","['2', 18]","['8', 17]","['better', 16]","['change', 14]","['apple ultra', 13]","['apple series', 13]","['think', 13]","['make', 12]","['x', 12]","['next', 12]","['series 9', 12]","['also', 12]","['life', 12]","['black', 11]","['glucose', 11]","['new', 11]","['size', 11]","['battery life', 11]"
11,"['apple', 259]","['series', 180]","['selected', 178]","['congratulation', 165]","['shortlisted', 160]","['congratulation selected', 132]","['8', 129]","['winner', 116]","['claim', 106]","['review', 105]","['get', 95]","['like', 90]","['claim prize', 90]","['prize', 90]","['shortlisted winner', 90]","['justine', 89]","['telegram', 88]","['telegram claim', 87]","['love', 86]","['message', 86]","['direct', 84]","['selected amongst', 80]","['amongst', 80]","['congratulation selected amongst', 79]","['congratulation selected amongst shortlisted', 79]","['selected amongst shortlisted', 79]","['amongst shortlisted', 79]","['direct mesage', 79]","['mesage', 79]","['series 8', 78]"
12,"['de', 81]","['el', 70]","['que', 69]","['la', 63]","['para', 42]","['e', 42]","['un', 39]","['lo', 33]","['por', 33]","['reloj', 27]","['se', 22]","['en', 22]","['pero', 22]","['con', 21]","['muy', 19]","['si', 18]","['n', 17]","['mi', 17]","['tengo', 16]","['yo', 16]","['apple', 16]","['ultra', 16]","['de la', 16]","['una', 14]","['como', 13]","['bater', 13]","['gracias', 12]","['del', 12]","['ver', 11]","['este', 11]"
13,"['new', 2]","['flashlight', 2]","['talent', 1]","['talent unmatched', 1]","['talent unmatched keep', 1]","['talent unmatched keep shining', 1]","['talent unmatched keep shining long', 1]","['unmatched', 1]","['unmatched keep', 1]","['unmatched keep shining', 1]","['unmatched keep shining long', 1]","['unmatched keep shining long take', 1]","['keep', 1]","['keep shining', 1]","['keep shining long', 1]","['keep shining long take', 1]","['keep shining long take find', 1]","['shining', 1]","['shining long', 1]","['shining long take', 1]","['shining long take find', 1]","['shining long take find new', 1]","['long', 1]","['long take', 1]","['long take find', 1]","['long take find new', 1]","['long take find new owner', 1]","['take', 1]","['take find', 1]","['take find new', 1]"
14,"['strap', 571]","['apple', 484]","['band', 468]","['get', 388]","['skin', 366]","['wrist', 346]","['clean', 339]","['like', 337]","['got', 331]","['rash', 331]","['take', 317]","['also', 249]","['people', 244]","['silicone', 223]","['use', 223]","['wash', 222]","['day', 219]","['fabric', 201]","['time', 201]","['problem', 189]","['would', 180]","['never', 179]","['metal', 175]","['thing', 162]","['mike', 158]","['wear', 155]","['mine', 154]","['know', 146]","['every', 139]","['wipe', 139]"
15,"['apple', 161]","['spermy', 96]","['shape', 85]","['like', 72]","['spermy shape', 57]","['vsauce', 49]","['look', 39]","['strap', 33]","['would', 33]","['want', 31]","['sperm', 29]","['time', 28]","['michael', 27]","['hand', 26]","['look like', 26]","['conflict', 25]","['old', 24]","['know', 24]","['design', 24]","['mouse', 23]","['love', 23]","['shaped', 23]","['thing', 23]","['catcher', 23]","['second', 22]","['conflict catcher', 22]","['3', 21]","['make', 21]","['cool', 20]","['back', 20]"
16,"['que', 10]","['el', 6]","['de', 6]","['se', 6]","['apple', 5]","['la', 5]","['en', 4]","['saludos', 4]","['con', 3]","['el apple', 3]","['n', 3]","['saludos desde', 3]","['desde', 3]","['en el', 2]","['el iphone', 2]","['iphone', 2]","['esa', 2]","['mucho', 2]","['estos', 2]","['isenacode', 2]","['ai', 2]","['chatgpt', 2]","['al', 2]","['ya', 2]","['google', 2]","['e', 2]","['gracias', 2]","['ser', 1]","['ser genial', 1]","['ser genial jugar', 1]"
17,"['apple', 80]","['know', 79]","['phone', 43]","['knew', 43]","['work', 38]","['long', 35]","['feature', 28]","['patrick', 25]","['screen', 24]","['patrick ramble', 24]","['ramble', 24]","['long press', 24]","['press', 24]","['iphone', 23]","['ultra', 23]","['series', 19]","['people', 17]","['sure', 16]","['phone screen', 16]","['everyone', 16]","['like', 16]","['make', 14]","['flash', 14]","['year', 14]","['lol', 13]","['find', 12]","['first', 12]","['cool', 12]","['bro', 12]","['tip', 11]"
